#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,False
245,Suicune,Water,,580,100,75,115,90,115,85,2,True
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False
260,SwampertMega Swampert,Water,Ground,635,100,150,110,95,110,70,3,False
320,Wailmer,Water,,400,130,70,35,70,35,60,3,False
321,Wailord,Water,,500,170,90,45,90,45,60,3,False
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
382,Kyogre,Water,,670,100,100,90,150,140,90,3,True
382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
490,Manaphy,Water,,600,100,100,100,100,100,100,4,False
537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
594,Alomomola,Water,,470,165,75,80,40,45,65,5,False
